step:100 smpl:2K ep:10 epch:0.16 loss:1089.237 grdn:745.354 lr:1.3e-05 updt_s:0.422 data_s:0.068 smp/s:49 mem_gb:6.28 losses_after_forward:1088.680 losses_after_in_ep_bound:983.146 losses_after_rm_padding:983.146
step:9K smpl:226K ep:905 epch:15.09 loss:0.022 grdn:6.319 lr:1.4e-05 updt_s:0.456 data_s:0.018 smp/s:51 mem_gb:6.24 losses_after_forward:0.028 losses_after_in_ep_bound:0.019 losses_after_rm_padding:0.019
step:10K smpl:228K ep:915 epch:15.25 loss:0.022 grdn:4.800 lr:1.3e-05 updt_s:0.461 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.029 losses_after_in_ep_bound:0.019 losses_after_rm_padding:0.019
step:10K smpl:230K ep:924 epch:15.41 loss:0.022 grdn:5.285 lr:1.2e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.028 losses_after_in_ep_bound:0.019 losses_after_rm_padding:0.019
step:10K smpl:233K ep:934 epch:15.57 loss:0.020 grdn:5.215 lr:1.1e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.027 losses_after_in_ep_bound:0.018 losses_after_rm_padding:0.018
step:10K smpl:235K ep:944 epch:15.73 loss:0.022 grdn:5.767 lr:1.1e-05 updt_s:0.461 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.027 losses_after_in_ep_bound:0.020 losses_after_rm_padding:0.020
step:10K smpl:238K ep:953 epch:15.89 loss:0.022 grdn:5.169 lr:1.0e-05 updt_s:0.461 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.027 losses_after_in_ep_bound:0.020 losses_after_rm_padding:0.020
step:10K smpl:240K ep:963 epch:16.05 loss:0.020 grdn:4.669 lr:9.4e-06 updt_s:0.457 data_s:0.018 smp/s:51 mem_gb:6.24 losses_after_forward:0.027 losses_after_in_ep_bound:0.018 losses_after_rm_padding:0.018
step:10K smpl:242K ep:973 epch:16.21 loss:0.021 grdn:5.225 lr:8.7e-06 updt_s:0.459 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.027 losses_after_in_ep_bound:0.019 losses_after_rm_padding:0.019
step:10K smpl:245K ep:982 epch:16.37 loss:0.019 grdn:5.214 lr:8.1e-06 updt_s:0.461 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.027 losses_after_in_ep_bound:0.017 losses_after_rm_padding:0.017
step:10K smpl:247K ep:992 epch:16.53 loss:0.019 grdn:4.837 lr:7.5e-06 updt_s:0.461 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.025 losses_after_in_ep_bound:0.017 losses_after_rm_padding:0.017
step:10K smpl:250K ep:1K epch:16.69 loss:0.020 grdn:4.575 lr:7.0e-06 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.025 losses_after_in_ep_bound:0.018 losses_after_rm_padding:0.018
step:10K smpl:252K ep:1K epch:16.85 loss:0.020 grdn:5.233 lr:6.5e-06 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.025 losses_after_in_ep_bound:0.018 losses_after_rm_padding:0.018
step:11K smpl:254K ep:1K epch:17.01 loss:0.020 grdn:5.505 lr:6.0e-06 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.026 losses_after_in_ep_bound:0.018 losses_after_rm_padding:0.018
